anio,mes,dia,hora(utc),altura(mm)
2016,1,27,7,1221 
2016,1,27,8,1158 
2016,1,27,9,994 
2016,1,27,10,788 
2016,1,27,11,608 
2016,1,27,12,512 
2016,1,27,13,531 
2016,1,27,14,666 
2016,1,27,15,884 
2016,1,27,16,1128 
2016,1,27,17,1330 
2016,1,27,18,1432 
2016,1,27,19,1400 
2016,1,27,20,1230 
2016,1,27,21,954 
2016,1,27,22,634 
2016,1,27,23,343 
2016,1,28,0,143 
2016,1,28,1,71 
2016,1,28,2,138 
2016,1,28,3,322 
2016,1,28,4,579 
2016,1,28,5,846 
2016,1,28,6,1065 
2016,1,28,7,1189 
2016,1,28,8,1198 
2016,1,28,9,1101 
2016,1,28,10,934 
2016,1,28,11,754 
2016,1,28,12,615 
2016,1,28,13,560 
2016,1,28,14,604 
2016,1,28,15,737 
2016,1,28,16,920 
2016,1,28,17,1102 
2016,1,28,18,1230 
2016,1,28,19,1266 
2016,1,28,20,1191 
2016,1,28,21,1016 
2016,1,28,22,777 
2016,1,28,23,530 
2016,1,29,0,331 
2016,1,29,1,221 
2016,1,29,2,224 
2016,1,29,3,336 
2016,1,29,4,528 
2016,1,29,5,755 
2016,1,29,6,970 
2016,1,29,7,1127 
2016,1,29,8,1196 
2016,1,29,9,1169 
2016,1,29,10,1060 
2016,1,29,11,907 
2016,1,29,12,757 
2016,1,29,13,651 
2016,1,29,14,616 
2016,1,29,15,658 
2016,1,29,16,762 
2016,1,29,17,894 
2016,1,29,18,1013 
2016,1,29,19,1082 
2016,1,29,20,1080 
2016,1,29,21,998 
2016,1,29,22,851 
2016,1,29,23,672 
2016,1,30,0,504 
2016,1,30,1,386 
2016,1,30,2,345 
2016,1,30,3,393 
2016,1,30,4,518 
2016,1,30,5,693 
2016,1,30,6,881 
2016,1,30,7,1048 
2016,1,30,8,1159 
2016,1,30,9,1195 
2016,1,30,10,1154 
2016,1,30,11,1051 
2016,1,30,12,917 
2016,1,30,13,789 
2016,1,30,14,694 
2016,1,30,15,653 
2016,1,30,16,669 
2016,1,30,17,728 
2016,1,30,18,806 
2016,1,30,19,877 
2016,1,30,20,917 
2016,1,30,21,910 
2016,1,30,22,852 
2016,1,30,23,755 
2016,1,31,0,642 
2016,1,31,1,543 
2016,1,31,2,483 
2016,1,31,3,481 
2016,1,31,4,543 
2016,1,31,5,659 
2016,1,31,6,805 
2016,1,31,7,960 
2016,1,31,8,1095 
2016,1,31,9,1184 
2016,1,31,10,1209 
2016,1,31,11,1170 
2016,1,31,12,1078 
2016,1,31,13,956 
2016,1,31,14,828 
2016,1,31,15,719 
2016,1,31,16,647 
2016,1,31,17,621 
2016,1,31,18,634 
2016,1,31,19,674 
2016,1,31,20,725 
2016,1,31,21,768 
2016,1,31,22,788 
2016,1,31,23,775 
2016,2,1,0,733 
2016,2,1,1,675 
2016,2,1,2,622 
2016,2,1,3,590 
2016,2,1,4,597 
2016,2,1,5,650 
2016,2,1,6,744 
2016,2,1,7,868 
2016,2,1,8,1006 
2016,2,1,9,1132 
2016,2,1,10,1221 
2016,2,1,11,1253 
2016,2,1,12,1223 
2016,2,1,13,1135 
2016,2,1,14,1002 
2016,2,1,15,849 
2016,2,1,16,701 
2016,2,1,17,584 
2016,2,1,18,514 
2016,2,1,19,496 
2016,2,1,20,526 
2016,2,1,21,590 
2016,2,1,22,667 
2016,2,1,23,733 
2016,2,2,0,770 
2016,2,2,1,772 
2016,2,2,2,747 
2016,2,2,3,709 
2016,2,2,4,677 
2016,2,2,5,671 
2016,2,2,6,705 
2016,2,2,7,784 
2016,2,2,8,903 
2016,2,2,9,1046 
2016,2,2,10,1186 
2016,2,2,11,1289 
2016,2,2,12,1333 
2016,2,2,13,1302 
2016,2,2,14,1195 
2016,2,2,15,1026 
2016,2,2,16,824 
2016,2,2,17,623 
2016,2,2,18,460 
2016,2,2,19,362 
2016,2,2,20,341 
2016,2,2,21,393 
2016,2,2,22,501 
2016,2,2,23,631 
2016,2,3,0,747 
2016,2,3,1,824 
2016,2,3,2,849 
2016,2,3,3,828 
2016,2,3,4,776 
2016,2,3,5,722 
2016,2,3,6,693 
2016,2,3,7,715 
2016,2,3,8,796 
2016,2,3,9,932 
2016,2,3,10,1103 
2016,2,3,11,1271 
2016,2,3,12,1394 
2016,2,3,13,1439 
2016,2,3,14,1387 
2016,2,3,15,1234 
2016,2,3,16,1004 
2016,2,3,17,738 
2016,2,3,18,484 
2016,2,3,19,291 
2016,2,3,20,192 
2016,2,3,21,200 
2016,2,3,22,306 
2016,2,3,23,476 
2016,2,4,0,664 
2016,2,4,1,822 
2016,2,4,2,916 
2016,2,4,3,935 
2016,2,4,4,887 
2016,2,4,5,800 
2016,2,4,6,714 
2016,2,4,7,669 
2016,2,4,8,695 
2016,2,4,9,802 
2016,2,4,10,979 
2016,2,4,11,1192 
2016,2,4,12,1393 
2016,2,4,13,1526 
2016,2,4,14,1552 
2016,2,4,15,1450 
2016,2,4,16,1227 
2016,2,4,17,921 
2016,2,4,18,590 
2016,2,4,19,298 
2016,2,4,20,102 
2016,2,4,21,36 
2016,2,4,22,105 
2016,2,4,23,283 
2016,2,5,0,523 
2016,2,5,1,759 
2016,2,5,2,936 
2016,2,5,3,1018 
2016,2,5,4,1000 
2016,2,5,5,903 
2016,2,5,6,771 
2016,2,5,7,659 
2016,2,5,8,614 
2016,2,5,9,668 
2016,2,5,10,822 
2016,2,5,11,1055 
2016,2,5,12,1317 
2016,2,5,13,1542 
2016,2,5,14,1666 
2016,2,5,15,1645 
2016,2,5,16,1467 
2016,2,5,17,1158 
2016,2,5,18,775 
2016,2,5,19,395 
2016,2,5,20,93 
2016,2,5,21,-71 
2016,2,5,22,-74 
2016,2,5,23,76 
2016,2,6,0,335 
2016,2,6,1,634 
2016,2,6,2,897 
2016,2,6,3,1063 
2016,2,6,4,1103 
2016,2,6,5,1024 
2016,2,6,6,867 
2016,2,6,7,694 
2016,2,6,8,570 
2016,2,6,9,547 
2016,2,6,10,650 
2016,2,6,11,868 
2016,2,6,12,1163 
2016,2,6,13,1466 
2016,2,6,14,1695 
2016,2,6,15,1782 
2016,2,6,16,1689 
2016,2,6,17,1422 
2016,2,6,18,1027 
2016,2,6,19,584 
2016,2,6,20,183 
2016,2,6,21,-94 
2016,2,6,22,-196 
2016,2,6,23,-113 
2016,2,7,0,125 
2016,2,7,1,456 
2016,2,7,2,795 
2016,2,7,3,1055 
2016,2,7,4,1179 
2016,2,7,5,1152 
2016,2,7,6,1000 
2016,2,7,7,784 
2016,2,7,8,583 
2016,2,7,9,468 
2016,2,7,10,487 
2016,2,7,11,652 
2016,2,7,12,939 
2016,2,7,13,1288 
2016,2,7,14,1611 
2016,2,7,15,1818 
2016,2,7,16,1844 
2016,2,7,17,1667 
2016,2,7,18,1311 
2016,2,7,19,848 
2016,2,7,20,375 
2016,2,7,21,-10 
2016,2,7,22,-229 
2016,2,7,23,-246 
2016,2,8,0,-70 
2016,2,8,1,250 
2016,2,8,2,634 
2016,2,8,3,981 
2016,2,8,4,1207 
2016,2,8,5,1264 
2016,2,8,6,1157 
2016,2,8,7,933 
2016,2,8,8,672 
2016,2,8,9,462 
2016,2,8,10,374 
2016,2,8,11,446 
2016,2,8,12,677 
2016,2,8,13,1022 
2016,2,8,14,1402 
2016,2,8,15,1718 
2016,2,8,16,1878 
2016,2,8,17,1831 
2016,2,8,18,1571 
2016,2,8,19,1147 
2016,2,8,20,649 
2016,2,8,21,185 
2016,2,8,22,-147 
2016,2,8,23,-284 
2016,2,9,0,-208 
2016,2,9,1,54 
2016,2,9,2,436 
2016,2,9,3,842 
2016,2,9,4,1166 
2016,2,9,5,1332 
2016,2,9,6,1311 
2016,2,9,7,1126 
2016,2,9,8,844 
2016,2,9,9,557 
2016,2,9,10,356 
2016,2,9,11,306 
2016,2,9,12,431 
2016,2,9,13,714 
2016,2,9,14,1092 
2016,2,9,15,1473 
2016,2,9,16,1754 
2016,2,9,17,1852 
2016,2,9,18,1733 
2016,2,9,19,1412 
2016,2,9,20,955 
2016,2,9,21,464 
2016,2,9,22,50 
2016,2,9,23,-204 
2016,2,10,0,-250 
2016,2,10,1,-87 
2016,2,10,2,242 
2016,2,10,3,655 
2016,2,10,4,1049 
2016,2,10,5,1323 
2016,2,10,6,1417 
2016,2,10,7,1320 
2016,2,10,8,1073 
2016,2,10,9,754 
2016,2,10,10,463 
2016,2,10,11,285 
2016,2,10,12,273 
2016,2,10,13,438 
2016,2,10,14,746 
2016,2,10,15,1124 
2016,2,10,16,1474 
2016,2,10,17,1700 
2016,2,10,18,1736 
2016,2,10,19,1565 
2016,2,10,20,1217 
2016,2,10,21,770 
2016,2,10,22,330 
2016,2,10,23,-7 
2016,2,11,0,-170 
2016,2,11,1,-131 
2016,2,11,2,99 
2016,2,11,3,462 
2016,2,11,4,871 
2016,2,11,5,1223 
2016,2,11,6,1433 
2016,2,11,7,1458 
2016,2,11,8,1303 
2016,2,11,9,1018 
2016,2,11,10,689 
2016,2,11,11,412 
2016,2,11,12,261 
2016,2,11,13,275 
2016,2,11,14,453 
2016,2,11,15,752 
2016,2,11,16,1094 
2016,2,11,17,1390 
2016,2,11,18,1556 
2016,2,11,19,1546 
2016,2,11,20,1355 
2016,2,11,21,1023 
2016,2,11,22,630 
2016,2,11,23,270 
2016,2,12,0,24 
2016,2,12,1,-54 
2016,2,12,2,51 
2016,2,12,3,314 
2016,2,12,4,675 
2016,2,12,5,1047 
2016,2,12,6,1341 
2016,2,12,7,1490 
2016,2,12,8,1463 
2016,2,12,9,1275 
2016,2,12,10,981 
2016,2,12,11,665 
2016,2,12,12,411 
2016,2,12,13,280 
2016,2,12,14,298 
2016,2,12,15,457 
2016,2,12,16,713 
2016,2,12,17,995 
2016,2,12,18,1227 
2016,2,12,19,1347 
2016,2,12,20,1319 
2016,2,12,21,1146 
2016,2,12,22,869 
2016,2,12,23,559 
2016,2,13,0,293 
2016,2,13,1,134 
2016,2,13,2,120 
2016,2,13,3,258 
2016,2,13,4,518 
2016,2,13,5,843 
2016,2,13,6,1160 
2016,2,13,7,1397 
2016,2,13,8,1500 
2016,2,13,9,1446 
2016,2,13,10,1255 
2016,2,13,11,979 
2016,2,13,12,690 
2016,2,13,13,456 
2016,2,13,14,326 
2016,2,13,15,321 
2016,2,13,16,433 
2016,2,13,17,622 
2016,2,13,18,835 
2016,2,13,19,1013 
2016,2,13,20,1110 
2016,2,13,21,1098 
2016,2,13,22,978 
2016,2,13,23,783 
2016,2,14,0,567 
2016,2,14,1,388 
2016,2,14,2,293 
2016,2,14,3,312 
2016,2,14,4,448 
2016,2,14,5,673 
2016,2,14,6,944 
2016,2,14,7,1206 
2016,2,14,8,1400 
2016,2,14,9,1480 
2016,2,14,10,1429 
2016,2,14,11,1261 
2016,2,14,12,1017 
2016,2,14,13,754 
2016,2,14,14,526 
2016,2,14,15,375 
2016,2,14,16,323 
2016,2,14,17,367 
2016,2,14,18,483 
2016,2,14,19,636 
2016,2,14,20,787 
2016,2,14,21,893 
2016,2,14,22,927 
2016,2,14,23,882 
2016,2,15,0,775 
2016,2,15,1,643 
2016,2,15,2,526 
2016,2,15,3,464 
2016,2,15,4,481 
2016,2,15,5,584 
2016,2,15,6,758 
2016,2,15,7,976 
2016,2,15,8,1198 
2016,2,15,9,1373 
2016,2,15,10,1458 
2016,2,15,11,1433 
2016,2,15,12,1300 
2016,2,15,13,1087 
2016,2,15,14,836 
2016,2,15,15,592 
2016,2,15,16,399 
2016,2,15,17,285 
2016,2,15,18,259 
2016,2,15,19,316 
2016,2,15,20,437 
2016,2,15,21,591 
2016,2,15,22,735 
2016,2,15,23,833 
2016,2,16,0,865 
2016,2,16,1,833 
2016,2,16,2,757 
2016,2,16,3,669 
2016,2,16,4,603 
2016,2,16,5,590 
2016,2,16,6,646 
2016,2,16,7,773 
2016,2,16,8,956 
2016,2,16,9,1164 
2016,2,16,10,1346 
2016,2,16,11,1458 
2016,2,16,12,1469 
2016,2,16,13,1369 
2016,2,16,14,1169 
2016,2,16,15,905 
